Model,Episode,Reward,Stopping_Time
Martingale,188,0.14698670091051216,2
Martingale,189,1.0,5
Martingale,190,1.0,3
Martingale,191,1.0,2
Martingale,192,1.0,1
Martingale,193,1.0,1
Martingale,194,1.0,7
Martingale,195,0.801726531018036,7
Martingale,196,0.5680608685868584,6
Martingale,197,0.5680608685868584,5
Martingale,198,0.5680608685868584,4
Martingale,199,0.0,3
